episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-77.3427339036543,-77.3427339036543,-77.3427339036543,2352.0,1,1,2500,2500,False,1,1,de7224d009bd45c18af51ea88124108d,2021-04-05_01-00-51,1617580851,87.89520263671875,87.89520263671875,80216,alexanders-mbp.lan,192.168.86.250,87.89520263671875,0,1,e1727_00014,[-77.3427339036543],[2352],0.762185017045428,1.4248075412779224,0.18459985085555622,2.023534172299098,0.0,6.472,39557.681,4.557,2500,2500,256256,256256,2500,1001,72.59838709677422,58.396774193548396,-0.040307816,0.066913,-0.31630334
-35.08554665896721,-77.3427339036543,-56.21414028131076,2352.0,1,1,5000,5000,False,2,2,de7224d009bd45c18af51ea88124108d,2021-04-05_01-04-05,1617581045,193.90196895599365,281.7971715927124,80216,alexanders-mbp.lan,192.168.86.250,281.7971715927124,0,2,e1727_00014,"[-35.08554665896721, -77.3427339036543]","[2352, 2352]",0.7560233636068852,1.4166198600611524,0.18564828399245434,1.9711566548834463,0.0,6.715,38125.433,4.886,5000,5000,896256,896256,5000,3501,72.46423357664233,59.13649635036496,-0.11535597,0.026388029,-0.4788477
-35.08554665896721,-77.3427339036543,-51.95564548894239,2352.0,1,1,7500,7500,False,3,3,de7224d009bd45c18af51ea88124108d,2021-04-05_01-07-18,1617581238,193.29110884666443,475.08828043937683,80216,alexanders-mbp.lan,192.168.86.250,475.08828043937683,0,3,e1727_00014,"[-43.43865590420564, -77.3427339036543, -35.08554665896721]","[2352, 2352, 2352]",0.7528594238578431,1.4110148851137156,0.18609580787707972,1.943210820545577,0.0,6.235,41060.559,4.062,7500,7500,1536256,1536256,7500,6001,81.34338235294118,59.56911764705882,-0.13987751,0.07174111,-0.50147915
-35.08554665896721,-77.3427339036543,-48.483933089004665,2352.0,1,1,10000,10000,False,4,4,de7224d009bd45c18af51ea88124108d,2021-04-05_01-10-34,1617581434,195.62599182128906,670.7142722606659,80216,alexanders-mbp.lan,192.168.86.250,670.7142722606659,0,4,e1727_00014,"[-38.068795889191506, -77.3427339036543, -35.08554665896721, -43.43865590420564]","[2352, 2352, 2352, 2352]",0.7498032828568469,1.4070572762074633,0.18625939758950893,1.9246102462569654,0.0,6.774,37790.778,4.43,10000,10000,2176256,2176256,10000,8501,74.43985507246377,59.07644927536232,-0.2049805,0.03925504,-0.49672425
-35.08554665896721,-77.3427339036543,-47.214707705672346,2352.0,1,1,12500,12500,False,5,5,de7224d009bd45c18af51ea88124108d,2021-04-05_01-13-47,1617581627,192.6313099861145,863.3455822467804,80216,alexanders-mbp.lan,192.168.86.250,863.3455822467804,0,5,e1727_00014,"[-42.137806172343055, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506]","[2352, 2352, 2352, 2352, 2352]",0.7469364000128274,1.402965230109284,0.18618531090750645,1.909200479437284,0.0,6.251,40950.94,4.47,12500,12500,2816256,2816256,12500,11001,80.35682656826567,58.66273062730627,-0.23938835,0.0016813315,-0.62235355
-35.08554665896721,-77.3427339036543,-45.66533141944652,2352.0,1,1,15000,15000,False,6,6,de7224d009bd45c18af51ea88124108d,2021-04-05_01-17-01,1617581821,194.43094515800476,1057.7765274047852,80216,alexanders-mbp.lan,192.168.86.250,1057.7765274047852,0,6,e1727_00014,"[-37.918449988317406, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055]","[2352, 2352, 2352, 2352, 2352, 2352]",0.7445057632250321,1.3997492345402602,0.1860693125524647,1.896695684073238,0.0,8.207,31194.745,4.209,15000,15000,3456256,3456256,15000,13501,82.11131386861314,58.78065693430656,-0.25385788,-0.0066579543,-0.66414565
-35.08554665896721,-77.3427339036543,-44.31056976592684,2352.0,1,1,17500,17500,False,7,7,de7224d009bd45c18af51ea88124108d,2021-04-05_01-20-15,1617582015,194.09790802001953,1251.8744354248047,80216,alexanders-mbp.lan,192.168.86.250,1251.8744354248047,0,7,e1727_00014,"[-36.18199984480873, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7425471255199715,1.396934476342315,0.18592851834133634,1.886432657294473,0.0,5.997,42688.59,4.76,17500,17500,4096256,4096256,17500,16001,67.68937728937728,58.704029304029305,-0.2591164,-0.010637578,-0.6640856
-34.17694142650406,-77.3427339036543,-43.043866223498995,2352.0,1,1,20000,20000,False,8,8,de7224d009bd45c18af51ea88124108d,2021-04-05_01-23-32,1617582212,195.7915871143341,1447.6660225391388,80216,alexanders-mbp.lan,192.168.86.250,1447.6660225391388,0,8,e1727_00014,"[-34.17694142650406, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7406425572399746,1.3944630539711997,0.18577798926417402,1.8777197505764858,0.0,7.145,35830.569,5.207,20000,20000,4736256,4736256,20000,18501,76.08628158844766,58.557761732851986,-0.27192724,-0.03626442,-0.6178157
-34.17694142650406,-77.3427339036543,-42.83573369379317,2352.0,1,1,22500,22500,False,9,9,de7224d009bd45c18af51ea88124108d,2021-04-05_01-26-49,1617582409,196.81289505958557,1644.4789175987244,80216,alexanders-mbp.lan,192.168.86.250,1644.4789175987244,0,9,e1727_00014,"[-41.17067345614656, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7390971938802069,1.3922825874871854,0.1856350729346924,1.8701798684196855,0.0,6.287,40717.846,3.886,22500,22500,5376256,5376256,22500,21001,74.88267148014441,58.68772563176895,-0.28884313,-0.0657371,-0.61828554
-32.67776493091371,-77.3427339036543,-41.81993681750522,2352.0,1,1,25000,25000,False,10,10,de7224d009bd45c18af51ea88124108d,2021-04-05_01-30-10,1617582610,201.7997281551361,1846.2786457538605,80216,alexanders-mbp.lan,192.168.86.250,1846.2786457538605,0,10,e1727_00014,"[-32.67776493091371, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7378815424374763,1.3903138282113932,0.18550468146600424,1.863700094047326,0.0,5.946,43056.453,4.613,25000,25000,6016256,6016256,25000,23501,76.96385964912281,59.04491228070175,-0.31208378,-0.08358276,-0.7249062
