episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-87.13409455637746,-87.13409455637746,-87.13409455637746,2352.0,1,1,2500,2500,False,1,1,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-11-59,1617599519,87.5483410358429,87.5483410358429,11861,alexanders-mbp.lan,192.168.86.250,87.5483410358429,0,1,e1727_00039,[-87.13409455637746],[2352],0.7617689999805742,1.4213854100693708,0.19232276343002838,2.085995073558711,0.0,5.083,50363.834,4.099,2500,2500,256256,256256,2500,1001,76.78306451612903,57.50967741935484,0.04268215,0.1592613,-0.28029513
-41.463758499511435,-87.13409455637746,-64.29892652794445,2352.0,1,1,5000,5000,False,2,2,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-15-10,1617599710,190.9049847126007,278.4533257484436,11861,alexanders-mbp.lan,192.168.86.250,278.4533257484436,0,2,e1727_00039,"[-41.463758499511435, -87.13409455637746]","[2352, 2352]",0.7605439425524583,1.4040196062895665,0.19182067469162395,2.0168896867169828,0.0,4.812,53199.254,3.711,5000,5000,896256,896256,5000,3501,83.58252788104087,57.61895910780668,0.02349767,0.23217781,-0.50331223
-36.10575058629075,-87.13409455637746,-54.90120121405988,2352.0,1,1,7500,7500,False,3,3,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-18-24,1617599904,194.01237893104553,472.46570467948914,11861,alexanders-mbp.lan,192.168.86.250,472.46570467948914,0,3,e1727_00039,"[-36.10575058629075, -87.13409455637746, -41.463758499511435]","[2352, 2352, 2352]",0.7576020513260224,1.3938846418952482,0.19180045707808566,1.9788695034925248,0.0,4.794,53401.925,3.533,7500,7500,1536256,1536256,7500,6001,76.25802919708029,57.43649635036496,-0.021445425,0.1820794,-0.30274954
-33.80104160909349,-87.13409455637746,-49.62616131281828,2352.0,1,1,10000,10000,False,4,4,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-21-39,1617600099,194.18228006362915,666.6479847431183,11861,alexanders-mbp.lan,192.168.86.250,666.6479847431183,0,4,e1727_00039,"[-33.80104160909349, -87.13409455637746, -41.463758499511435, -36.10575058629075]","[2352, 2352, 2352, 2352]",0.7547338362687677,1.386888574777808,0.19172142497448705,1.954232529275807,0.0,5.546,46162.192,4.07,10000,10000,2176256,2176256,10000,8501,83.11715328467153,57.507664233576634,-0.060806748,0.13626993,-0.35868964
-32.27309625450495,-87.13409455637746,-46.15554830115562,2352.0,1,1,12500,12500,False,5,5,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-24-54,1617600294,194.50926089286804,861.1572456359863,11861,alexanders-mbp.lan,192.168.86.250,861.1572456359863,0,5,e1727_00039,"[-32.27309625450495, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349]","[2352, 2352, 2352, 2352, 2352]",0.7528331172854983,1.382606520103994,0.19161305663115985,1.9353478436234668,0.0,6.264,40869.886,3.523,12500,12500,2816256,2816256,12500,11001,78.7397810218978,57.08138686131387,-0.050216544,0.16458717,-0.5804323
-26.318253864639964,-87.13409455637746,-42.84933256173634,2352.0,1,1,15000,15000,False,6,6,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-28-11,1617600491,197.3961718082428,1058.5534174442291,11861,alexanders-mbp.lan,192.168.86.250,1058.5534174442291,0,6,e1727_00039,"[-26.318253864639964, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349, -32.27309625450495]","[2352, 2352, 2352, 2352, 2352, 2352]",0.7513785511430845,1.3796379459220234,0.1915244480968036,1.9214582052484854,0.0,5.478,46734.006,3.327,15000,15000,3456256,3456256,15000,13501,76.05791366906475,56.85287769784172,-0.038283914,0.11908679,-0.53908896
-25.001221776529928,-87.13409455637746,-40.299602449564006,2352.0,1,1,17500,17500,False,7,7,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-31-27,1617600687,195.83287024497986,1254.386287689209,11861,alexanders-mbp.lan,192.168.86.250,1254.386287689209,0,7,e1727_00039,"[-25.001221776529928, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349, -32.27309625450495, -26.318253864639964]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7499096387505549,1.3774362317115845,0.19140970410310443,1.910539555421766,0.0,4.809,53230.375,3.853,17500,17500,4096256,4096256,17500,16001,74.66606498194946,57.00830324909748,-0.052844234,0.11532739,-0.3915484
-24.88392370494066,-87.13409455637746,-38.37264260648608,2352.0,1,1,20000,20000,False,8,8,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-34-42,1617600882,193.98043179512024,1448.3667194843292,11861,alexanders-mbp.lan,192.168.86.250,1448.3667194843292,0,8,e1727_00039,"[-24.88392370494066, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349, -32.27309625450495, -26.318253864639964, -25.001221776529928]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7484842093638733,1.3756479637560468,0.19126793322673308,1.9013296270000049,0.0,4.415,57986.813,3.894,20000,20000,4736256,4736256,20000,18501,83.57985347985347,56.99706959706959,-0.05262483,0.09775388,-0.5282298
-23.33155753973192,-87.13409455637746,-36.70141093240229,2352.0,1,1,22500,22500,False,9,9,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-38-02,1617601082,200.46040201187134,1648.8271214962006,11861,alexanders-mbp.lan,192.168.86.250,1648.8271214962006,0,9,e1727_00039,"[-23.33155753973192, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349, -32.27309625450495, -26.318253864639964, -25.001221776529928, -24.88392370494066]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.747284012458371,1.3742611716931923,0.19115903431429732,1.8942008078792765,0.0,4.371,58562.093,3.46,22500,22500,5376256,5376256,22500,21001,84.77844522968198,57.17420494699646,-0.07676595,0.08388618,-0.5094937
-19.14854609029826,-87.13409455637746,-34.94612444819189,2352.0,1,1,25000,25000,False,10,10,13a811f14c884262a6bc30ffabb42f99,2021-04-05_06-41-22,1617601282,199.37389516830444,1848.201016664505,11861,alexanders-mbp.lan,192.168.86.250,1848.201016664505,0,10,e1727_00039,"[-19.14854609029826, -87.13409455637746, -41.463758499511435, -36.10575058629075, -33.80104160909349, -32.27309625450495, -26.318253864639964, -25.001221776529928, -24.88392370494066, -23.33155753973192]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7461786476219491,1.3732712722613205,0.1910837491867243,1.888402404822506,0.0,5.479,46720.788,4.195,25000,25000,6016256,6016256,25000,23501,80.46156583629893,57.743772241992886,-0.0709179,0.06887218,-0.27429223
