Rank,LR,Actor hiddens,Critic hiddens,Mean episode reward
1,0.0297,"[200, 200]","[300, 300]",-23.6664
2,0.0577,"[200, 200]","[300, 300]",-23.9457
3,0.0592,"[400, 400]","[300, 300]",-24.2017
4,0.0448,"[400, 400]","[200, 200]",-24.9747
5,0.0941,"[300, 300]","[400, 400]",-25.3434
6,0.0659,"[400, 400]","[300, 300]",-25.4411
7,0.0712,"[300, 300]","[400, 400]",-25.8312
8,0.0699,"[400, 400]","[500, 500]",-25.8656
65,0.0486,"[200, 200]","[200, 200]",-33.3017
66,0.036,"[200, 200]","[200, 200]",-33.3643
67,0.036,"[300, 300]","[500, 500]",-34.1956
68,0.0709,"[400, 400]","[200, 200]",-34.5363
69,0.0216,"[400, 400]","[500, 500]",-34.8443
70,0.0905,"[400, 400]","[200, 200]",-34.899
71,0.0987,"[200, 200]","[400, 400]",-35.2939
72,0.0227,"[200, 200]","[200, 200]",-36.1401
