,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q,battery_size,lr
0,-88.56377172993342,-88.56377172993342,-88.56377172993342,2352.0,1,1,2500,False,1,1,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-37-12,1617097032,84.41247892379761,84.41247892379761,96743,alexanders-mbp.lan,192.168.86.244,84.41247892379761,0,1,46521_00006,[-88.56377172993342],[2352],2.1418071374660586,0.6734144682886123,1.2800775495160823,0.16333016811585913,7.382999999999999,34676.207,4.345,2500,256256,2500,1001,63.94083333333333,64.48333333333332,-0.31835106,-0.1863658,-0.57511157,1.4,0.01
1,-15.194133391546384,-88.56377172993342,-51.8789525607399,2352.0,1,1,5000,False,2,2,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-40-42,1617097242,210.28974175453186,294.7022206783295,96743,alexanders-mbp.lan,192.168.86.244,294.7022206783295,0,2,46521_00006,"[-15.194133391546382, -88.56377172993342]","[2352, 2352]",2.1878685102097606,0.7033273829767833,1.3468804720237515,0.1720772136528846,9.816,26080.179,6.15,5000,896256,5000,3501,67.91711409395973,63.1214765100671,-0.32774827,-0.19680226,-0.61255074,1.4,0.01
2,-12.577837243427814,-88.56377172993342,-38.77858078830254,2352.0,1,1,7500,False,3,3,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-44-20,1617097460,217.79941987991333,512.5016405582428,96743,alexanders-mbp.lan,192.168.86.244,512.5016405582428,0,3,46521_00006,"[-12.577837243427812, -88.56377172993342, -15.194133391546382]","[2352, 2352, 2352]",2.220421509854305,0.7236981237606623,1.3852944446582591,0.17673620452011538,9.062999999999999,28246.403,6.172000000000001,7500,1536256,7500,6001,72.72987012987012,61.230844155844146,-0.29603383,-0.19177376,-0.63485837,1.4,0.01
3,-11.458300448452116,-88.56377172993342,-31.94851070333993,2352.0,1,1,10000,False,4,4,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-48-07,1617097687,227.10233902931213,739.6039795875549,96743,alexanders-mbp.lan,192.168.86.244,739.6039795875549,0,4,46521_00006,"[-11.458300448452116, -88.56377172993342, -15.194133391546382, -12.577837243427812]","[2352, 2352, 2352, 2352]",2.246909559342208,0.737941382445648,1.411754021931671,0.18014735920344374,11.522,22218.581000000002,5.692,10000,2176256,10000,8501,78.5301242236025,60.159937888198755,-0.29960525,-0.17479631,-0.6737813,1.4,0.01
4,-11.458300448452116,-88.56377172993342,-27.992860593950194,2352.0,1,1,12500,False,5,5,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-52-06,1617097926,238.93640184402463,978.5403814315796,96743,alexanders-mbp.lan,192.168.86.244,978.5403814315796,0,5,46521_00006,"[-12.170260156391244, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116]","[2352, 2352, 2352, 2352, 2352]",2.270728538045587,0.7520268137530101,1.4333990318523604,0.1827913262330067,10.414000000000001,24583.182999999997,6.376,12500,2816256,12500,11001,80.38724035608308,59.165281899109786,-0.27418676,-0.14252356,-0.7217458000000001,1.4,0.01
5,-8.244665452758747,-88.56377172993342,-24.70149473708495,2352.0,1,1,15000,False,6,6,da3eecee4c07447f88216070c5a73fe0,2021-03-30_10-56-20,1617098180,253.8386120796204,1232.3789935112,96743,alexanders-mbp.lan,192.168.86.244,1232.3789935112,0,6,46521_00006,"[-8.244665452758747, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244]","[2352, 2352, 2352, 2352, 2352, 2352]",2.295349397984846,0.7641069921934479,1.4534044038034113,0.1850845626069615,13.405999999999999,19096.518,6.164,15000,3456256,15000,13501,76.49439775910362,59.203921568627464,-0.23530596,-0.10480405400000001,-0.48619577,1.4,0.01
6,-8.244665452758747,-88.56377172993342,-22.572952644537736,2352.0,1,1,17500,False,7,7,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-00-30,1617098430,249.59682488441467,1481.9758183956146,96743,alexanders-mbp.lan,192.168.86.244,1481.9758183956146,0,7,46521_00006,"[-9.801700089254451, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3174181327222945,0.7741310513608222,1.4706955078330246,0.18695673935986665,8.876,28843.403,5.3,17500,4096256,17500,16001,78.99630681818181,59.67102272727272,-0.25931707,-0.11358304,-0.58906007,1.4,0.01
7,-8.244665452758747,-88.56377172993342,-20.96400575334522,2352.0,1,1,20000,False,8,8,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-04-31,1617098671,240.6206960678101,1722.5965144634247,96743,alexanders-mbp.lan,192.168.86.244,1722.5965144634247,0,8,46521_00006,"[-9.701377514997583, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3357706194542933,0.7818798485206271,1.4846702288421616,0.1884259618953453,8.529,30016.767999999996,4.669,20000,4736256,20000,18501,84.04896755162241,58.964896755162236,-0.2464199,-0.12938260000000001,-0.47322404,1.4,0.01
8,-8.244665452758747,-88.56377172993342,-19.76699045648425,2352.0,1,1,22500,False,9,9,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-08-24,1617098904,232.62860226631162,1955.2251167297366,96743,alexanders-mbp.lan,192.168.86.244,1955.2251167297366,0,9,46521_00006,"[-10.190868081596513, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3506464027271314,0.7880198425619249,1.4957038310129047,0.1895842714453119,10.419,24570.301,6.787000000000001,22500,5376256,22500,21001,80.2670731707317,59.29908536585365,-0.24085388,-0.11405375599999999,-0.560122,1.4,0.01
9,-8.244665452758747,-88.56377172993342,-18.636226872122837,2352.0,1,1,25000,False,10,10,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-12-16,1617099136,232.2173748016357,2187.442491531372,96743,alexanders-mbp.lan,192.168.86.244,2187.442491531372,0,10,46521_00006,"[-8.459354612870092, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.362958305762437,0.7929154810505419,1.5047283890947407,0.19052064596659984,8.892000000000001,28789.731,4.25,25000,6016256,25000,23501,76.87530487804878,59.65701219512196,-0.22810347,-0.11818440000000001,-0.5237688,1.4,0.01
